Number,Title,Source,URL,Date
1, Conflict Management doctoral student wins Best Student Paper,No Source,https://news.kennesaw.edu/stories/2018/conflict_management_student_award.php,"December 31, 2018"
2,KSU Center for Sustainable Journalism receives two individual grants,No Source,https://news.kennesaw.edu/stories/2018/sustainable_journalism_grants.php,"December 20, 2018"
3,Brian Bohannon Named AFCA Region Coach of the Year,No Source,https://news.kennesaw.edu/stories/2018/bohannon_coach_of_the_year.php,"December 18, 2018"
4, Kennesaw State receives grant from the Governor's Office of Highway Safety,No Source,https://news.kennesaw.edu/stories/2018/highway_safety_grant_2018.php,"December 17, 2018"
5,Atlanta United 2 to play 2019 home matches at Fifth Third Bank Stadium,No Source,https://news.kennesaw.edu/stories/2018/atlanta-united-2_fifth-third.php,"December 14, 2018"
6,KSU researcher awarded NIH grant to improve gene-editing technology delivery,No Source,https://news.kennesaw.edu/stories/2018/gene-editing_research.php,"December 13, 2018"
7,Internationally renowned researcher named Kennesaw State vice president for research,No Source,https://news.kennesaw.edu/stories/2018/vp-for-research.php,"December 11, 2018"
8,Admissions to answer questions on Facebook Live,No Source,https://news.kennesaw.edu/stories/2018/admissions-fb-live-visitation.php,"December 10, 2018"
9,Student Receives Competitive Travel Grant,No Source,https://news.kennesaw.edu/stories/2018/student_travel_grant.php,"December 07, 2018"
10,"Alum, donor Mickey Dunn to speak at Kennesaw State Commencement",No Source,https://news.kennesaw.edu/stories/2018/2018_fall_commencement.php,"December 06, 2018"
11,Kennesaw State University economic impact eclipses $1.46 billion,No Source,https://news.kennesaw.edu/stories/2018/ksu_economic_impact.php,"December 05, 2018"
12,Finalists named in search for Kennesaw State vice president for research,No Source,https://news.kennesaw.edu/stories/2018/vp_research_candidates.php,"November 29, 2018"
13,Top turf: Kennesaw State stadium earns national award,No Source,https://news.kennesaw.edu/stories/2018/2018_field_of_the_year.php,"November 29, 2018"
14,History professor earns best book award from Georgia Historical Society,No Source,https://news.kennesaw.edu/stories/2018/historical_society_award.php,"November 28, 2018"
15,"Kennesaw State technology making it easier for students to access no-cost, low-cost textbooks",No Source,https://news.kennesaw.edu/stories/2018/textbook_cost_savings.php,"November 21, 2018"
16,Kennesaw State Office of Admissions offers special event Dec. 1,No Source,https://news.kennesaw.edu/stories/2018/admissions_event_dec_1.php,"November 19, 2018"
17,Kennesaw State named a Bicycle Friendly University ,No Source,https://news.kennesaw.edu/stories/2018/bicycle_friendly_university.php,"November 15, 2018"
18,Kennesaw State names new vice president for advancement and CEO of KSU Foundation,No Source,https://news.kennesaw.edu/stories/2018/vp_for_advancement.php,"November 14, 2018"
19,UGA Law Dean to speak at Kennesaw State Nov. 16,No Source,https://news.kennesaw.edu/stories/2018/ethics_week_speaker.php,"November 14, 2018"
20,Student organization earns national excellence award,No Source,https://news.kennesaw.edu/stories/2018/student_affiliate_excellence_award.php,"November 12, 2018"
21,Kennesaw State partners with Moxie to host 2018 FutureX Live,No Source,https://news.kennesaw.edu/stories/2018/futurex_live_conference.php,"November 09, 2018"
22,Kennesaw State names executive director for institutional research,No Source,https://news.kennesaw.edu/stories/2018/institutional_research_director.php,"November 07, 2018"
23,"Kennesaw State presents new take on ""Our Town""",No Source,https://news.kennesaw.edu/stories/2018/our_town_performance.php,"November 05, 2018"
24,Mothers touched by tragedy to share their anti-hazing message at KSU,No Source,https://news.kennesaw.edu/stories/2018/tragedy_into_progress.php,"November 02, 2018"
25,Kennesaw State to salute America's veterans,No Source,https://news.kennesaw.edu/stories/2018/veterans_day_2018.php,"November 01, 2018"
